8157 WIND_SPEED,TEMPERATURE,HUMIDITY,MIC_A,MIC_B
9330 0.09,0.00,0.00,-551.75,-566.50
9338 0.09,0.00,0.00,-546.25,-559.00
9338 0.09,0.00,0.00,-539.25,-551.50
9345 0.09,0.00,0.00,-531.50,-545.75
9346 0.09,0.00,0.00,-523.75,-539.00
9353 0.09,0.00,0.00,-518.50,-531.75
9354 0.09,0.00,0.00,-512.25,-525.25
9361 0.09,0.00,0.00,-504.75,-518.75
9362 0.09,0.00,0.00,-498.50,-512.75
9369 0.09,0.00,0.00,-492.75,-506.50
9370 0.09,0.00,0.00,-486.25,-500.50
9377 0.09,0.00,0.00,-480.00,-494.25
9378 0.09,0.00,0.00,-472.00,-487.50
9385 0.09,0.00,0.00,-467.50,-481.25
9386 0.09,0.00,0.00,-460.00,-475.50
9393 0.09,0.00,0.00,-455.25,-469.25
9394 0.09,0.00,0.00,-449.50,-463.75
9401 0.09,0.00,0.00,-443.25,-457.00
9402 0.09,0.00,0.00,-437.75,-451.75
9409 0.09,0.00,0.00,-431.00,-446.50
9410 0.09,0.00,0.00,-425.50,-440.00
9417 0.09,0.00,0.00,-421.00,-434.25
9418 0.09,0.00,0.00,-412.50,-428.00
9425 0.09,0.00,0.00,-409.00,-422.25
9426 0.09,0.00,0.00,-403.25,-417.50
9433 0.09,0.00,0.00,-398.50,-412.25
9434 0.09,0.00,0.00,-392.75,-406.50
9441 0.09,0.00,0.00,-387.75,-400.25
9442 0.09,0.00,0.00,-381.25,-395.50
9449 0.09,0.00,0.00,-376.75,-390.00
9450 0.09,0.00,0.00,-371.00,-385.00
9457 0.09,0.00,0.00,-367.50,-380.25
9458 0.09,0.00,0.00,-363.25,-375.75
9466 0.09,0.00,0.00,-357.50,-371.50
9466 0.09,0.00,0.00,-353.50,-365.25
9474 0.09,0.00,0.00,-348.00,-362.25
9474 0.09,0.00,0.00,-344.25,-357.25
9481 0.09,0.00,0.00,-338.00,-352.25
9482 0.09,0.00,0.00,-334.00,-346.25
9489 0.09,0.00,0.00,-329.25,-342.00
9490 0.09,0.00,0.00,-325.00,-339.00
9499 0.09,0.00,0.00,-319.75,-334.50
9499 0.09,0.00,0.00,-314.25,-329.50
9506 0.09,0.00,0.00,-311.50,-324.75
9506 0.09,0.00,0.00,-307.25,-320.25
9514 0.09,0.00,0.00,-302.50,-315.75
9514 0.09,0.00,0.00,-299.25,-311.75
9522 0.09,0.00,0.00,-294.25,-307.50
9522 0.09,0.00,0.00,-292.00,-303.50
9530 0.09,0.00,0.00,-287.75,-300.00
9530 0.09,0.00,0.00,-283.00,-295.75
9538 0.09,0.00,0.00,-279.75,-292.00
9538 0.09,0.00,0.00,-275.75,-288.25
9547 0.09,0.00,0.00,-272.00,-284.25
9547 0.09,0.00,0.00,-267.75,-280.50
9554 0.09,0.00,0.00,-264.50,-276.50
9554 0.09,0.00,0.00,-260.00,-272.25
9563 0.09,0.00,0.00,-257.50,-268.50
9563 0.09,0.00,0.00,-254.25,-266.25
9571 0.09,0.00,0.00,-250.00,-261.75
9572 0.09,0.00,0.00,-246.00,-259.00
9578 0.09,0.00,0.00,-243.50,-254.75
9578 0.09,0.00,0.00,-240.00,-252.25
9586 0.09,0.00,0.00,-236.50,-248.25
9586 0.09,0.00,0.00,-233.00,-244.25
9594 0.09,0.00,0.00,-228.50,-241.00
9594 0.09,0.00,0.00,-225.75,-237.75
9602 0.09,0.00,0.00,-222.25,-235.00
9602 0.09,0.00,0.00,-462.75,-410.25
9610 0.09,0.00,0.00,-497.00,-483.50
9611 0.09,0.00,0.00,-437.50,-518.00
9618 0.09,0.00,0.00,-461.00,-575.00
9619 0.09,0.00,0.00,-473.25,-590.00
9627 0.09,0.00,0.00,-549.75,-573.00
9627 0.09,0.00,0.00,-527.00,-514.25
9635 0.09,0.00,0.00,-444.50,-442.75
9635 0.09,0.00,0.00,-342.75,-422.25
9643 0.09,0.00,0.00,-311.75,-413.50
9643 0.09,0.00,0.00,-300.50,-388.00
9650 0.09,0.00,0.00,-337.25,-407.00
9651 0.09,0.00,0.00,-339.75,-384.00
9658 0.09,0.00,0.00,-313.25,-374.00
9658 0.09,0.00,0.00,-284.00,-383.50
9666 0.09,0.00,0.00,-267.00,-393.50
9666 0.35,0.00,0.00,-169.75,-336.75
9674 0.35,0.00,0.00,-122.50,-333.50
9674 0.35,0.00,0.00,-111.50,-302.50
9682 0.35,0.00,0.00,-249.00,-300.25
9682 0.35,0.00,0.00,-342.75,-290.25
9690 0.35,0.00,0.00,-366.75,-298.25
9690 0.35,0.00,0.00,-344.50,-272.75
9698 0.35,0.00,0.00,-351.25,-226.00
9699 0.35,0.00,0.00,-396.00,-280.25
9706 0.35,0.00,0.00,-291.75,-339.25
9706 0.35,0.00,0.00,-249.50,-305.75
9714 0.35,0.00,0.00,-264.75,-215.25
9715 0.35,0.00,0.00,-305.25,-205.50
9722 0.35,0.00,0.00,-278.50,-256.50
9723 0.35,0.00,0.00,-239.00,-307.00
9730 0.35,0.00,0.00,-220.50,-350.00
9730 0.35,0.00,0.00,-219.25,-336.25
9739 0.35,0.00,0.00,-193.75,-231.00
9739 0.35,0.00,0.00,-153.00,-160.25
9746 0.35,0.00,0.00,-126.25,-168.00
9747 0.35,0.00,0.00,-139.25,-193.25
9754 0.35,0.00,0.00,-197.50,-233.25
9755 0.35,0.00,0.00,-230.00,-282.25
9763 0.35,0.00,0.00,-176.25,-235.50
9763 0.35,0.00,0.00,-178.25,-243.00
9770 0.35,0.00,0.00,-142.00,-195.25
9770 0.35,0.00,0.00,-130.25,-151.25
9778 0.35,0.00,0.00,-84.75,-105.75
9780 0.35,0.00,0.00,-90.25,-127.50
9786 0.35,0.00,0.00,-94.50,-137.25
9786 0.35,0.00,0.00,-115.00,-143.00
9794 0.35,0.00,0.00,-153.00,-155.25
9794 0.35,0.00,0.00,-142.25,-160.25
9803 0.35,0.00,0.00,-147.25,-165.00
9803 0.35,0.00,0.00,-145.75,-135.75
9810 0.35,0.00,0.00,-83.50,-99.75
9810 0.35,0.00,0.00,-77.25,-115.00
9818 0.35,0.00,0.00,-11.75,-84.00
9818 0.35,0.00,0.00,-36.50,-63.25
9827 0.35,0.00,0.00,-56.25,-91.25
9827 0.35,0.00,0.00,-92.25,-78.25
9834 0.35,0.00,0.00,-189.50,-59.00
9834 0.35,0.00,0.00,-148.75,-116.00
9842 0.35,0.00,0.00,-67.50,-96.50
9843 0.35,0.00,0.00,-26.00,18.75
9850 0.35,0.00,0.00,-35.75,63.50
9851 0.35,0.00,0.00,-24.25,-115.75
9859 0.35,0.00,0.00,-32.50,-288.75
9859 0.35,0.00,0.00,-133.50,-168.00
9866 0.35,0.00,0.00,-233.25,-33.50
9866 0.35,0.00,0.00,-140.75,-86.75
9874 0.35,0.00,0.00,-70.25,-78.50
9875 0.35,0.00,0.00,-83.75,-85.25
9882 0.35,0.00,0.00,-97.25,-98.50
9882 0.35,0.00,0.00,-14.25,-64.75
9890 0.35,0.00,0.00,-4.75,-74.50
9890 0.35,0.00,0.00,-78.75,-118.25
9898 0.35,0.00,0.00,-109.75,-75.50
9898 0.35,0.00,0.00,-171.00,-90.25
9906 0.35,0.00,0.00,-112.50,-79.75
9907 0.35,0.00,0.00,-32.00,-29.75
9914 0.35,0.00,0.00,3.25,36.00
9914 0.35,0.00,0.00,-49.25,-59.00
9922 0.35,0.00,0.00,-54.00,-45.50
9922 0.35,0.00,0.00,-44.75,-82.75
9930 0.35,0.00,0.00,-26.50,-98.75
9931 0.35,0.00,0.00,-60.50,-112.25
9938 0.35,0.00,0.00,-82.00,-91.00
9939 0.35,0.00,0.00,-90.00,-77.00
9944 0.35,0.00,0.00,-63.50,-55.25
9947 0.35,24.30,38.00,-6.50,-36.50
9954 0.35,24.30,38.00,73.00,-13.00
9954 0.35,24.30,38.00,39.75,-15.25
9962 0.35,24.30,38.00,-40.25,-42.00
9963 0.35,24.30,38.00,-58.75,-29.50
9970 0.35,24.30,38.00,-71.00,50.50
9971 0.35,24.30,38.00,-80.50,-138.25
9978 0.35,24.30,38.00,5.00,-77.50
9978 0.35,24.30,38.00,65.50,-13.25
9986 0.35,24.30,38.00,5.50,-7.50
9986 0.35,24.30,38.00,-5.00,-7.00
9995 0.35,24.30,38.00,-20.75,9.75
9995 0.35,24.30,38.00,-12.75,-43.75
10003 0.35,24.30,38.00,-21.00,-63.50
10003 0.35,24.30,38.00,28.00,-17.75
10010 0.35,24.30,38.00,75.50,-1.50
10010 0.35,24.30,38.00,35.00,21.75
10018 0.35,24.30,38.00,-28.00,1.50
10018 0.35,24.30,38.00,25.75,42.00
10026 0.35,24.30,38.00,33.50,35.75
10026 0.35,24.30,38.00,6.25,5.75
10034 0.35,24.30,38.00,36.50,-3.25
10034 0.35,24.30,38.00,59.75,-21.50
10042 0.35,24.30,38.00,-27.25,-47.75
10042 0.35,24.30,38.00,-48.00,-65.25
10050 0.35,24.30,38.00,-19.75,-38.50
10050 0.35,24.30,38.00,-4.75,127.25
10058 0.35,24.30,38.00,-18.75,104.00
10059 0.35,24.30,38.00,31.00,-49.75
10066 0.35,24.30,38.00,36.00,-122.75
10066 0.35,24.30,38.00,-29.50,-97.00
10074 0.35,24.30,38.00,-54.25,-48.50
10074 0.35,24.30,38.00,-36.75,-14.50
10082 0.35,24.30,38.00,-9.00,24.00
10082 0.35,24.30,38.00,-20.75,-4.75
10090 0.35,24.30,38.00,32.00,-17.75
10090 0.35,24.30,38.00,72.00,1.00
10098 0.35,24.30,38.00,37.75,-20.75
10099 0.35,24.30,38.00,-27.75,-81.75
10106 0.35,24.30,38.00,-62.75,-31.75
10106 0.35,24.30,38.00,-87.00,-34.00
10114 0.35,24.30,38.00,-43.00,10.00
10114 0.35,24.30,38.00,11.75,13.00
10122 0.35,24.30,38.00,80.50,38.75
10122 0.35,24.30,38.00,62.25,-4.25
10130 0.35,24.30,38.00,27.00,-19.00
10130 0.35,24.30,38.00,-38.25,-11.00
10138 0.35,24.30,38.00,-52.25,-30.00
10138 0.35,24.30,38.00,-64.75,-53.75
10146 0.35,24.30,38.00,-50.00,-33.25
10146 0.35,24.30,38.00,-13.25,1.25
10154 0.35,24.30,38.00,37.00,45.00
10154 0.35,24.30,38.00,46.75,34.50
10162 0.35,24.30,38.00,63.00,37.75
10162 0.35,24.30,38.00,-29.00,-1.50
10170 0.35,24.30,38.00,-43.25,-5.75
10170 0.35,24.30,38.00,-63.75,-41.00
10178 0.35,24.30,38.00,-57.75,-34.25
10178 0.35,24.30,38.00,-48.50,-17.75
10186 0.35,24.30,38.00,-32.50,16.25
10186 0.35,24.30,38.00,25.00,59.50
10193 0.35,24.30,38.00,56.00,45.00
10194 0.35,24.30,38.00,58.50,9.00
10202 0.35,24.30,38.00,42.50,11.25
10202 0.35,24.30,38.00,-13.50,-1.50
10210 0.35,24.30,38.00,-71.25,-32.25
10210 0.35,24.30,38.00,-20.50,8.25
10217 0.35,24.30,38.00,-2.00,13.50
10218 0.35,24.30,38.00,24.75,0.75
10226 0.35,24.30,38.00,33.75,-26.75
10226 0.35,24.30,38.00,75.50,40.00
10234 0.35,24.30,38.00,49.50,50.00
10234 0.35,24.30,38.00,18.75,10.75
10242 0.35,24.30,38.00,-10.75,-33.00
10242 0.35,24.30,38.00,-13.25,-32.75
10250 0.35,24.30,38.00,8.25,-3.25
10250 0.35,24.30,38.00,11.75,11.50
10258 0.35,24.30,38.00,28.50,19.75
10258 0.35,24.30,38.00,56.75,30.50
10266 0.35,24.30,38.00,51.00,31.00
10266 0.35,24.30,38.00,13.50,15.50
10274 0.35,24.30,38.00,-12.75,-9.00
10274 0.35,24.30,38.00,2.25,-11.50
10283 0.35,24.30,38.00,27.00,-7.75
10283 0.35,24.30,38.00,56.25,-6.75
10290 0.35,24.30,38.00,83.50,1.00
10291 0.35,24.30,38.00,75.25,28.75
10298 0.35,24.30,38.00,62.25,60.25
10298 0.35,24.30,38.00,39.75,13.75
10306 0.35,24.30,38.00,34.00,-3.00
10306 0.35,24.30,38.00,-13.00,-8.00
10314 0.35,24.30,38.00,-43.00,-4.25
10315 0.35,24.30,38.00,-72.50,-42.25
10322 0.35,24.30,38.00,-10.25,-29.00
10322 0.35,24.30,38.00,42.75,-3.50
10329 0.35,24.30,38.00,47.50,42.00
10330 0.35,24.30,38.00,8.25,39.00
10338 0.35,24.30,38.00,-17.25,32.50
10338 0.35,24.30,38.00,-22.75,0.50
10346 0.35,24.30,38.00,-20.50,-29.00
10346 0.35,24.30,38.00,-31.00,-48.75
10354 0.35,24.30,38.00,19.25,-31.50
10354 0.35,24.30,38.00,48.25,-13.75
10361 0.35,24.30,38.00,51.50,34.25
10362 0.35,24.30,38.00,16.75,30.25
10369 0.35,24.30,38.00,46.00,45.00
10370 0.35,24.30,38.00,33.75,49.75
10378 0.35,24.30,38.00,-27.25,23.50
10379 0.35,24.30,38.00,-12.25,-6.50
10386 0.35,24.30,38.00,-6.25,-35.00
10386 0.35,24.30,38.00,8.25,-2.75
10394 0.35,24.30,38.00,53.50,58.75
10394 0.35,24.30,38.00,93.25,69.25
10402 0.35,24.30,38.00,85.00,69.75
10402 0.35,24.30,38.00,52.50,63.25
10410 0.35,24.30,38.00,-17.25,39.50
10410 0.35,24.30,38.00,-26.00,-1.00
10419 0.35,24.30,38.00,-21.25,-37.50
10419 0.35,24.30,38.00,-16.25,-8.75
10427 0.35,24.30,38.00,20.00,1.75
10427 0.35,24.30,38.00,65.00,31.25
10435 0.35,24.30,38.00,84.00,46.75
10435 0.35,24.30,38.00,95.00,74.50
10441 0.35,24.30,38.00,23.50,29.25
10442 0.35,24.30,38.00,-4.50,24.25
10449 0.35,24.30,38.00,-43.50,-9.50
10450 0.35,24.30,38.00,-45.00,0.50
10457 0.35,24.30,38.00,-44.00,-3.00
10458 0.35,24.30,38.00,14.75,25.25
10465 0.35,24.30,38.00,30.00,20.75
10466 0.35,24.30,38.00,47.75,29.25
10473 0.35,24.30,38.00,16.50,-14.75
10474 0.35,24.30,38.00,9.00,9.75
10482 0.35,24.30,38.00,6.50,29.00
10482 0.35,24.30,38.00,-16.00,-46.25
10490 0.35,24.30,38.00,3.75,-44.75
10490 0.35,24.30,38.00,36.75,6.25
10498 0.35,24.30,38.00,37.75,14.00
10498 0.35,24.30,38.00,50.25,36.00
10506 0.35,24.30,38.00,66.75,67.50
10506 0.35,24.30,38.00,21.75,44.75
10514 0.35,24.30,38.00,-6.50,33.25
10514 0.35,24.30,38.00,-3.75,0.25
10522 0.35,24.30,38.00,-0.50,-17.25
10522 0.35,24.30,38.00,-8.75,-31.25
10530 0.35,24.30,38.00,25.00,-8.75
10530 0.35,24.30,38.00,7.25,-9.75
10538 0.35,24.30,38.00,29.25,47.50
10538 0.35,24.30,38.00,12.25,35.75
10546 0.35,24.30,38.00,-6.75,-3.25
10546 0.35,24.30,38.00,-35.00,-36.50
10555 0.35,24.30,38.00,-15.00,-6.25
10555 0.35,24.30,38.00,-33.25,-21.75
10563 0.35,24.30,38.00,-16.75,-14.00
10563 0.35,24.30,38.00,19.25,7.00
10571 0.35,24.30,38.00,60.75,36.50
10571 0.35,24.30,38.00,50.25,24.00
10579 0.35,24.30,38.00,56.50,34.50
10579 0.35,24.30,38.00,28.75,17.50
10586 0.35,24.30,38.00,-10.75,-5.00
10587 0.35,24.30,38.00,-34.00,-22.50
10594 0.35,24.30,38.00,0.25,11.75
10594 0.35,24.30,38.00,38.75,40.75
10602 0.35,24.30,38.00,48.00,38.00
10602 0.35,24.30,38.00,78.50,54.00
10610 0.35,24.30,38.00,80.50,52.25
10610 0.35,24.30,38.00,70.00,44.00
10618 0.35,24.30,38.00,12.75,-9.00
10618 0.35,24.30,38.00,9.00,-10.75
10626 0.35,24.30,38.00,1.25,-10.00
10626 0.35,24.30,38.00,18.50,13.25
10634 0.35,24.30,38.00,22.50,26.50
10634 0.35,24.30,38.00,54.00,77.25
10642 0.35,24.30,38.00,12.50,48.25
10642 0.35,24.30,38.00,32.75,54.75
10651 0.35,24.30,38.00,5.25,8.00
10651 0.35,24.30,38.00,11.75,-13.00
10656 0.35,24.30,38.00,-15.75,-61.50
10663 0.35,24.30,38.00,36.25,-37.75
10664 0.35,24.30,38.00,115.50,-0.25
10666 0.35,24.30,38.00,91.50,12.75
10674 0.35,24.30,38.00,14.25,24.00
10674 0.35,24.30,38.00,-27.75,23.50
10683 0.35,24.30,38.00,-7.50,59.00
10683 0.35,24.30,38.00,-15.00,42.75
10691 0.35,24.30,38.00,-28.25,30.25
10692 0.35,24.30,38.00,-48.25,-28.00
10699 0.35,24.30,38.00,13.00,-43.50
10699 0.35,24.30,38.00,41.00,-57.50
10706 0.35,24.30,38.00,38.50,4.75
10706 0.35,24.30,38.00,-5.75,70.00
10714 0.35,24.30,38.00,0.75,70.25
10714 0.35,24.30,38.00,-24.75,-37.25
10722 0.35,24.30,38.00,-41.50,-32.75
10723 0.35,24.30,38.00,59.00,5.25
10730 0.35,24.30,38.00,89.50,-56.75
10730 0.35,24.30,38.00,-44.50,-65.25
10738 0.35,24.30,38.00,-17.25,31.75
10738 0.35,24.30,38.00,-22.25,40.50
10745 0.35,24.30,38.00,-14.50,16.00
10745 0.35,24.30,38.00,-8.00,-5.25
10754 0.35,24.30,38.00,-7.50,1.50
10754 0.35,24.30,38.00,-62.00,15.00
10762 0.35,24.30,38.00,-79.50,-7.50
10762 0.35,24.30,38.00,-24.25,-15.50
10770 0.35,24.30,38.00,35.00,4.25
10770 0.35,24.30,38.00,48.25,24.25
10778 0.35,24.30,38.00,71.00,64.00
10778 0.35,24.30,38.00,96.25,91.75
10786 0.35,24.30,38.00,45.25,31.50
10787 0.35,24.30,38.00,5.00,1.75
10795 0.35,24.30,38.00,-35.25,-8.50
10795 0.35,24.30,38.00,-14.75,3.00
10801 0.35,24.30,38.00,-14.25,-9.75
10802 0.35,24.30,38.00,7.75,1.00
10809 0.35,24.30,38.00,62.50,50.50
10810 0.35,24.30,38.00,94.25,80.25
10818 0.35,24.30,38.00,68.75,37.75
10818 0.35,24.30,38.00,30.75,13.00
10826 0.35,24.30,38.00,-8.50,-34.75
10826 0.35,24.30,38.00,9.75,-31.50
10835 0.35,24.30,38.00,15.75,-66.25
